,Jeu,Commentaire,Commentaire_English
221,Grand Theft Auto VI,"We will never forget or forgive the betrayal of Rockstar Games

#RockstarGamesScammers

#RIPRockstarGames[",en
222,Grand Theft Auto VI,136 million views and 10 mln like is insane. Goes to show how anticipated and iconic this series truly is.,en
223,Grand Theft Auto VI,LOVE YOU ROCKSTAR FOR THIS AMAZING SURPRISE ,en
224,Grand Theft Auto VI,This was the best gta trailer I've seen last year,en
225,Grand Theft Auto VI,"We will never forget or forgive the betrayal of Rockstar Games

#RockstarGamesScammers

#RIPRockstarGames[",en
226,Grand Theft Auto VI,"working car mirrors ,yes!!  first person is going to be so sweet 1:01 if you slow it down you can see the beauty . car customization can't wait",en
227,Grand Theft Auto VI,This is best thing that ever happened in my life,en
228,Grand Theft Auto VI,"born too late to explore the world,

born too early to explore the galaxy,

born just in time to play this masterpiece",en
229,Grand Theft Auto VI,Been watching this for the 20th time  cant wait,en
230,Grand Theft Auto VI,Time flies quickly :),fr
231,Grand Theft Auto VI,"We will never forget or forgive the betrayal of Rockstar Games

#RockstarGamesScammers

#RIPRockstarGames[",en
232,Grand Theft Auto VI,"Finally  
Watching after 2 months",en
233,Grand Theft Auto VI,"We will never forget or forgive the betrayal of Rockstar Games

#RockstarGamesScammers

#RIPRockstarGames[",en
234,Grand Theft Auto VI,This trailer really makes you FEEL like you've been waiting a third of your life for it.,en
235,Grand Theft Auto VI,Something about this just bring a smile to my face:),en
236,Grand Theft Auto VI,"I miss the days of floating money and guns, vulgar radio stations and pure simplicity there’s was only one true love in my life, “Grand theft auto vice city”",en
237,Grand Theft Auto VI,"We will never forget or forgive the betrayal of Rockstar Games

#RockstarGamesScammers

#RIPRockstarGames[",en
238,Grand Theft Auto VI,Gta 6 e uma lenda obrigado rockstar por esse jogo maravilhoso que está a nos proporcionar de coração mesmo obrigado muito vai  ser um sucesso igual gta 5 e Red dead redepemption 2,pt
239,Grand Theft Auto VI,"We will never forget or forgive the betrayal of Rockstar Games

#RockstarGamesScammers

#RIPRockstarGames[",en
240,Grand Theft Auto VI,"I want to say a huge thank you to Michael, Franklin and Trevor for keeping us company for 12 years!",en
241,Grand Theft Auto VI,Yes yes yes  10 years of waiting,en
242,Grand Theft Auto VI,Oh yes im excited for the next franchise ,en
243,Grand Theft Auto VI,"We will never forget or forgive the betrayal of Rockstar Games

#RockstarGamesScammers

#RIPRockstarGames[",en
244,Grand Theft Auto VI,It remains always banger of all time ,en
245,Grand Theft Auto VI,"We will never forget or forgive the betrayal of Rockstar Games

#RockstarGamesScammers

#RIPRockstarGames[",en
246,Grand Theft Auto VI,"65 millions views in 14 hours is insane, shows how anticipated and loved this franchise is.",en
247,Grand Theft Auto VI,"This is officially Rockstar's most viewed video, and well deserved too! ",en
248,Grand Theft Auto VI,Florida men raise up! This is so hype.,en
249,Grand Theft Auto VI,"We will never forget or forgive the betrayal of Rockstar Games

#RockstarGamesScammers

#RIPRockstarGames[",en
250,Grand Theft Auto VI,I never saw this quality of graphics in another game in my live,en
251,Grand Theft Auto VI,Here for the trailer 2.,en
252,Grand Theft Auto VI,53 million views for a video game trailer in 10 hours is absolutely wild. The hype is unprecedented,en
253,Grand Theft Auto VI,FINALLY a game where the next gen is real,en
254,Grand Theft Auto VI,10 Years for this,en
255,Grand Theft Auto VI,Still can not believe that this happened,en
256,Grand Theft Auto VI,Here to mark myself as a witness of this upcoming masterpiece 🥹,en
257,Grand Theft Auto VI,"We will never forget or forgive the betrayal of Rockstar Games.,

#RockstarGamesScammers

#RIPRockstarGames`",en
258,Grand Theft Auto VI,90 million views in 24 hours is insane. Goes to show how anticipated and iconic this series truly is.,en
259,Grand Theft Auto VI,"Meu console favorito de todo o sempre, tenho minha coleção de Gamecube faz um bom tempo já, até hoje compro jogos dele que são caríssimos mas como já tenho coleção, não compensa mais desbloquear, vídeo muito bom ",pt
260,Grand Theft Auto VI,Finally Los Santos will be safe after 10 years,en
261,Grand Theft Auto VI,"We will never forget or forgive the betrayal of Rockstar Games.,

#RockstarGamesScammers

#RIPRockstarGames`",en
262,Grand Theft Auto VI,This is such a huge leap from gta 5 its unfathomable,en
263,Grand Theft Auto VI,"We will never forget or forgive the betrayal of Rockstar Games/

#RockstarGamesScammers

#RIPRockstarGames",en
264,Grand Theft Auto VI,"I want to give a huge thank you to Michael, Franklin and Trevor for keeping us company for 12 years .",en
265,Grand Theft Auto VI,"As someone who's had thoughts about deleting themselves for so long. For the first time in a long while, I want to live. I want to live to play this game. ",en
266,Grand Theft Auto VI,J’arrive toujours pas à m’en remettre de ce premier trailer 🥹,fr
267,Grand Theft Auto VI,"We will never forget or forgive the betrayal of Rockstar Games/

#RockstarGamesScammers

#RIPRockstarGames",en
268,Grand Theft Auto VI,OMG this looks amazing,en
269,Grand Theft Auto VI,"We will never forget or forgive the betrayal of Rockstar Games/

#RockstarGamesScammers

#RIPRockstarGames",en
270,Grand Theft Auto VI,Rest in peace to all the fans who couldn’t live long enough to witness this ,en
271,Grand Theft Auto VI,Thank you Mr. Sam Houser️,en
272,Grand Theft Auto VI,I’m really stoked that the last GTA I ever play will be at Vice City ,en
273,Grand Theft Auto VI,"We will never forget or forgive the betrayal of Rockstar Games/

#RockstarGamesScammers

#RIPRockstarGames",en
274,Grand Theft Auto VI,Queroooo muitoooooo ! Já amanhã! Estes jogos nunca podem acabar ! Rock star incríveis jogos! Meus favoritos!,pt
275,Grand Theft Auto VI,"We will never forget or forgive the betrayal of Rockstar Games.,

#RockstarGamesScammers

#RIPRockstarGames`",en
276,Grand Theft Auto VI,60 DAYS LATER STILL A BANGER,de
277,Grand Theft Auto VI,Sephine: Lucia come here and have a seat  Stephine : Do you know why you here Lucia : bad luck i  guess,en
278,Grand Theft Auto VI,Graphic look more realistic than real life.,en
279,Grand Theft Auto VI,"We will never forget or forgive the betrayal of Rockstar Games.,

#RockstarGamesScammers

#RIPRockstarGames`",en
280,Grand Theft Auto VI,I'm looking forward to it!,en
281,Grand Theft Auto VI,Boys you know what time it is. We all know what time it is time,en
282,Grand Theft Auto VI,97 million is literally insane. What a historical event for a video game. The game looks absolutely phenomenal.,en
283,Grand Theft Auto VI,"We will never forget or forgive the betrayal of Rockstar Games...

#RockstarGamesScammers

#RIPRockstarGames",en
284,Grand Theft Auto VI,Es un honor estar aquí con vosotros camaradas...lo conseguimos...,es
285,Grand Theft Auto VI,"2025: 
Rockstar: releases:",en
286,Grand Theft Auto VI,Oh my God just now I'm thinking about all the Easter eggs this game is gonna have,en
287,Grand Theft Auto VI,Oh my god I want to play grand theft auto VI,en
288,Grand Theft Auto VI,"Pay respects for those people that didn't make it to this moment, and waited so long since 2013 for this trailer and game. Rest in Peace brothers and sisters.",en
289,Grand Theft Auto VI,Cant wait for this to be remastered on 3 generation of consoles XD,en
290,Grand Theft Auto VI,"The graphics look pretty realistic Grand Theft Auto VI like in a video shoot! Maybe I am not waiting for the release of this game, but I will watch the gameplay of this game!",en
291,Grand Theft Auto VI,Day 64 of rewatching this trailer,en
292,Grand Theft Auto VI,"We will never forget or forgive the betrayal of Rockstar Games...

#RockstarGamesScammers

#RIPRockstarGames",en
293,Grand Theft Auto VI,"COMENTAR TODO DIA, ATÉ  GTAVI SER LANÇADO!",en
294,Grand Theft Auto VI,80 Million in 20 hours is CRAZY. Shows how much anticipated and iconic this series is.,en
295,Grand Theft Auto VI,"We will never forget or forgive the betrayal of Rockstar Games...

#RockstarGamesScammers

#RIPRockstarGames",en
296,Grand Theft Auto VI,Imagine being tased by the police in this game plunges coming out of the taser with realistic noises lol,en
297,Grand Theft Auto VI,We need time travel to reach this,en
298,Grand Theft Auto VI,The closes we’ll get to this GTA being a movie is Pain and Gain.,en
299,Grand Theft Auto VI,"The “Karen” lady “Well, look who’s back!” ",en
300,Grand Theft Auto VI,It's crazy that even as adults these trailers still make us feel like kids again,en
301,Grand Theft Auto VI,This game is gonna beat records ,en
302,Grand Theft Auto VI,"We will never forget or forgive the betrayal of Rockstar Games...

#RockstarGamesScammers

#RIPRockstarGames",en
303,Grand Theft Auto VI,"It really is a long, long road.",en
304,Grand Theft Auto VI,"We will never forget or forgive the betrayal of Rockstar Games_

#RockstarGamesScammers

#RIPRockstarGames",en
305,Grand Theft Auto VI,I’m playing GTA V right now can’t wait to see the new game come out,en
306,Grand Theft Auto VI,130 million in just 4 days is literally insane! What a historical event for a video game. This game looks absolutely phenomenal. I can't wait for GTA VI to come out!,en
307,Grand Theft Auto VI,"We will never forget or forgive the betrayal of Rockstar Games...

#RockstarGamesScammers

#RIPRockstarGames",en
308,Grand Theft Auto VI,IM SO EXCITED FOR THIS GAME it’s been a ride GTA 5 ,en
309,Grand Theft Auto VI,173 Million Views in 2 Months bruh. The Hype is Real,en
310,Grand Theft Auto VI,Hay que admitir hermanos de latam con este trailer lloramos de alegría y de rabia y tristeza de tener que esperar hasta 2025..,es
311,Grand Theft Auto VI,",We will never forget or forgive the betrayal of Rockstar Games,

#RockstarGamesScammers

#RIPRockstarGames",en
312,Grand Theft Auto VI,78 million views and 8.1 million likes in 19 hours is crazy. It shows how anticipated and iconic this series is.,en
313,Grand Theft Auto VI,Silence for the fans who didn’t live to get to see this incredible trailer ,en
314,Grand Theft Auto VI,"We will never forget or forgive the betrayal of Rockstar Games_

#RockstarGamesScammers

#RIPRockstarGames",en
315,Grand Theft Auto VI,",We will never forget or forgive the betrayal of Rockstar Games,

#RockstarGamesScammers

#RIPRockstarGames",en
316,Grand Theft Auto VI,J'ai hâte les frerot que le jeu sorte,fr
317,Grand Theft Auto VI,"""how many times do u watch the trailer"" me: ""yes""",en
318,Grand Theft Auto VI,"101 million views in 24 hours is insane, shows how anticipated and loved this franchise is.",en
319,Grand Theft Auto VI,"After 18-19 years, we can swim in Vice City again. Vic Vance could swim but Tommy Vercetti couldn’t swim",en
320,Grand Theft Auto VI,"We will never forget or forgive the betrayal of Rockstar Games_

#RockstarGamesScammers

#RIPRockstarGames",en
321,Grand Theft Auto VI,"We will never forget or forgive the betrayal of Rockstar Games

#RockstarGamesScammers:

#RIPRockstarGames",en
322,Grand Theft Auto VI,"thank you boys, been an honour",en
323,Grand Theft Auto VI,",We will never forget or forgive the betrayal of Rockstar Games,

#RockstarGamesScammers

#RIPRockstarGames",en
324,Grand Theft Auto VI,A minute of silence in honor of all loyal fans who didn't live to see this legendary moment.,en
325,Grand Theft Auto VI,"If you don't postpone it, there's only one year left guys. It's going to be a difficult year, take care of your mental and physical health, be well because next year promises a lot. It's an honor to share this moment with you gentlemen",en
326,Grand Theft Auto VI,The fact that there is a possibility that anyone of us can die till this game's release is terrifying :),en
327,Grand Theft Auto VI,Watched it within 4 hours of releasing. Forgot to comment then 🥹,en
328,Grand Theft Auto VI,Just 1 more year to go and we'll be able to swim in vice city,en
329,Grand Theft Auto VI,Cant stop watching this ,en
330,Grand Theft Auto VI,73 million views in 17 hours is insane! This goes to show how anticipated and iconic this gaming series truly is. This has never been done before!,en
331,Grand Theft Auto VI,"Foi uma honra rapazes

Gta 5 pra sempre",pt
332,Grand Theft Auto VI,60 DAYS LATER STILL A BANGER,de
333,Grand Theft Auto VI,",We will never forget or forgive the betrayal of Rockstar Games,

#RockstarGamesScammers

#RIPRockstarGames",en
334,Grand Theft Auto VI,"the cutscenes look like far cry 5's. But by the time it releases, its gonna look ALOT different compared to the gta 5 trailer comparison to the gameplay. I already plan on buying a PS5 so i cant wait!!!",en
335,Grand Theft Auto VI,",We will never forget or forgive the betrayal of Rockstar Games,

#RockstarGamesScammers

#RIPRockstarGames",en
336,Grand Theft Auto VI,121 million views and 10 million likes and is still currently number one trending worldwide on YouTube!!! Goes to show you how much this franchise means to all of us!!,en
337,Grand Theft Auto VI,This game about to show why rockstar is far above any other video game company on the planet,en
338,Grand Theft Auto VI,This is going to be the best game ever!!,en
339,Grand Theft Auto VI,Lucia is Manni L Perez for sure ,ca
340,Grand Theft Auto VI,This year is looking good so far,en
341,Grand Theft Auto VI,",We will never forget or forgive the betrayal of Rockstar Games,

#RockstarGamesScammers

#RIPRockstarGames",en
342,Grand Theft Auto VI,100 million in just one day is literally insane! What a historical event for a video game. This game looks absolutely phenomenal.,en
343,Grand Theft Auto VI,"How many times have you watched this trailer? LMFAO Rockstar one last thing we want or maybe just me is add realistic fueling to cars and bikes and diesel for trucks based on their engine sizes that's all thanks so much been rocking and rolling since GTA London, I am a trucker would love to see this feature, can also be a good truck simulator for schools I've been driving 10 years since GTA5 came out lol whatever yall do take one more month to add this feature or if you can get a job as a trucker to make extra money delivering to stores",en
344,Grand Theft Auto VI,"Wow, the first GTA I am legally allowed to purchase",en
345,Grand Theft Auto VI,"We will never forget or forgive the betrayal of Rockstar Games/

#RockstarGamesScammers

#RIPRockstarGames",en
346,Grand Theft Auto VI,"If it weren't for the first batch of releases, I might have eaten the computer",en
347,Grand Theft Auto VI,The graphics is unbelievable,en
348,Grand Theft Auto VI,Imagine how emotional this will be 10 years from now,en
349,Grand Theft Auto VI,0:09 Lucia’s answer feels like a reference to Michael’s “guess it was the weather” from GTA V’s trailer,en
350,Grand Theft Auto VI,Late to this but I'm Damn excited man ️ Even though I have no PS I'm excited asf... Bringing back old memories,en
351,Grand Theft Auto VI,"We will never forget or forgive the betrayal of Rockstar Games(

#RockstarGamesScammers

#RIPRockstarGames",en
352,Grand Theft Auto VI,this game will probably last forever,en
353,Grand Theft Auto VI,"We will never forget or forgive the betrayal of Rockstar Games(

#RockstarGamesScammers

#RIPRockstarGames",en
354,Grand Theft Auto VI,"As an adult, very few things can make you feel like a kid again. Watching this trailer actually made me feel like a kid getting overly excited again. Feels so good.",en
355,Grand Theft Auto VI,rock stars have shown once again who is the most important in the gaming industry,en
356,Grand Theft Auto VI,I don’t think they’re going to delay gta 6 I think they put 2025 so that they have that extra 2-3 months to polish some things up but DANG I can’t wait for this game man,en
357,Grand Theft Auto VI,"We will never forget or forgive the betrayal of Rockstar Games(

#RockstarGamesScammers

#RIPRockstarGames",en
358,Grand Theft Auto VI,"Que trailer insano, não canso de rever. ",pt
359,Grand Theft Auto VI,"We will never forget or forgive the betrayal of Rockstar Games(

#RockstarGamesScammers

#RIPRockstarGames",en
360,Grand Theft Auto VI,1000 years later still gives me the chills,en
361,Grand Theft Auto VI,I believe the reason these trailers hit so hard is because we KNOW the developers wont fail us like literally every other developer does.,en
362,Grand Theft Auto VI,"I like the graphics, I mean, it's Rockstar Games,  but some way, somehow, I don't know... It's not giving me that ""wow"" factor other than the stunning visuals. Maybe it's a bit too soon, or it is what it is! 
Either way, I'm excited to see what they come up with! ",en
363,Grand Theft Auto VI,",We will never forget or forgive the betrayal of Rockstar Games,

#RockstarGamesScammers

#RIPRockstarGames",en
364,Grand Theft Auto VI,I can hardly wait for the release of GTA7! Hopefully soon.,en
365,Grand Theft Auto VI,89th time watching this trailer but who’s counting,en
366,Grand Theft Auto VI,100 million views in one day is beyond insane. It really goes to show you the passion that the gaming community has for this franchise. This game WILL be phenomenal,en
367,Grand Theft Auto VI,"My favorite thing about this trailer is that if you listen to the track “love is a long road” you can actually get some insight to the story without spoiling anything. 
“There was a girl I knew
Said she cared about me",en
368,Grand Theft Auto VI,"omg, I wait 11 years for this!!!!!!!!",en
369,Grand Theft Auto VI,We want Ryan Gosling literally me cameo in GTA VI,en
370,Grand Theft Auto VI,"We will never forget or forgive the betrayal of Rockstar Games~

#RockstarGamesScammers

#RIPRockstarGames",en
371,Grand Theft Auto VI,Awesome trailer ,en
372,Grand Theft Auto VI,112 million views is beyond insane. It really goes to show you the passion that the gaming community has for this franchise. This game WILL be phenomenal,en
373,Grand Theft Auto VI,This is damn noice,en
374,Grand Theft Auto VI,I can't wait for this game to come out.,en
375,Grand Theft Auto VI,"We will never forget or forgive the betrayal of Rockstar Games

#RockstarGamesScammers:

#RIPRockstarGames",en
376,Grand Theft Auto VI,"We will never forget or forgive the betrayal of Rockstar Games_

#RockstarGamesScammers

#RIPRockstarGames",en
377,Grand Theft Auto VI,"We will never forget or forgive the betrayal of Rockstar Games

#RockstarGamesScammers:

#RIPRockstarGames",en
378,Grand Theft Auto VI,65 Million in 14 hours is CRAZY. Shows how much anticipated and iconic this series is!!,en
379,Grand Theft Auto VI,"We will never forget or forgive the betrayal of Rockstar Games_

#RockstarGamesScammers

#RIPRockstarGames",en
380,Grand Theft Auto VI,"We will never forget or forgive the betrayal of Rockstar Games_

#RockstarGamesScammers

#RIPRockstarGames",en
381,Grand Theft Auto VI,"We will never forget or forgive the betrayal of Rockstar Games

#RockstarGamesScammers:

#RIPRockstarGames",en
382,Grand Theft Auto VI,"We will never forget or forgive the betrayal of Rockstar Games_

#RockstarGamesScammers

#RIPRockstarGames",en
383,Grand Theft Auto VI,Miss Los santos custom already.... looks like the new one named rideoutcustom ,en
384,Grand Theft Auto VI,It's crazy that even as adults these still makes us feel like kids again,en
385,Grand Theft Auto VI,"amazing trailer, very excited!",en
386,Grand Theft Auto VI,"imagine the game starts of at 0:48 and we see Jason being a cop, somehow makes friends with Lucia then of course at the end one of them gets shot (which i hope they both run away together) just a wild wild Theory",en
387,Grand Theft Auto VI,I’m going to be 23 when the next game comes out,en
388,Grand Theft Auto VI,Been waiting eleven years,en
389,Grand Theft Auto VI,Please drop nxt trailer ,en
390,Grand Theft Auto VI,The fact that this video has been released only a day ago and already has 90+ million views is insane and it goes to show you how this franchise has touched millions of people.,en
391,Grand Theft Auto VI,"We will never forget or forgive the betrayal of Rockstar Games_

#RockstarGamesScammers

#RIPRockstarGames",en
392,Grand Theft Auto VI,"Вы просто гении этж надо такую графику в играх сделать, удачи вам больших успехов",ru
393,Grand Theft Auto VI,"Man I miss CJ lmao San Andreas was my favorite game, now I can't even afford a computer or system to play the new ones, I'm using my vivo Asus 15 i3 but had to upgrade the memory and ram and it's still laggy online lol",en
394,Grand Theft Auto VI,It's about freaking time people can learn how to swim in Vice City ,en
395,Grand Theft Auto VI,"We will never forget or forgive the betrayal of Rockstar Games.,

#RockstarGamesScammers

#RIPRockstarGames`",en
396,Grand Theft Auto VI,It's crazy that even as adults these still makes us feel like teenagers again.,en
397,Grand Theft Auto VI,"Its crazy to me how fast this became the most viewed video on rockstars channel, beating out gta 5's trailer. This proves how massive this game will be",en
398,Grand Theft Auto VI,"БОЖЕ МОЙ, ЭТО ПРЕКРАСНО. Я УЖЕ ГОТОВЛЮ ДЕНЬГИ",ru
399,Grand Theft Auto VI,Waiting for trailer 2 ,en
400,Grand Theft Auto VI,Just Amazing ,en
401,Grand Theft Auto VI,we all just need to stay alive for one more year we can do it,en
402,Grand Theft Auto VI,20 million in 2 hours is genuinely insane . This just shows how much aura the GTA franchise has.,en
403,Grand Theft Auto VI,how'd I miss this,en
404,Grand Theft Auto VI,I view the trailer every week just to see the view count rise.  IT'S INSANE!,en
405,Grand Theft Auto VI,1 MORE YEAR BOYS!!!!,so
406,Grand Theft Auto VI,Bravo Rockstar ,sv
407,Grand Theft Auto VI,My golden era is back,da
408,Grand Theft Auto VI,78 Million views in 18 hours is CRAZY. Shows how much anticipated and iconic this series is.,en
409,Grand Theft Auto VI,After all these years of nothing its finally going to be real,en
410,Grand Theft Auto VI,"Оставлю тут след в истории, вернусь сюда когда будет трейлер ГТА 7 :)",ru
411,Grand Theft Auto VI,I’m hitting up club as soon as I get it fr,en
412,Grand Theft Auto VI,Agora eu bato no peito e digo que estou vivo na melhor epoca dos jogos do mundo,pt
413,Grand Theft Auto VI,"only a year is left , 1 and half years if i we be more specific i have already bought an ps5 for this game lol cant really wait",en
414,Grand Theft Auto VI,140 million in just one week is literally insane! What a historical event for a video game. This game looks absolutely phenomenal.,en
415,Grand Theft Auto VI,"Todavía no me creo esta locura, llevo 10 años y serán 12 cuando salga el GTA VI, lo,llevo esperando con ansias, desde que empezaron a rumorear sobre esto, y después de mucho esta aquí ",es
416,Grand Theft Auto VI,Most anticipated game oat,en
417,Grand Theft Auto VI,",We will never forget or forgive the betrayal of Rockstar Games,

#RockstarGamesScammers

#RIPRockstarGames",en
418,Grand Theft Auto VI,"The only way we’re going to get through this wait is by sticking together,and being a team.",en
419,Grand Theft Auto VI,maybe after 200M release triller #2 ,da
420,Grand Theft Auto VI,130 million + views in just 3 days.This itself shows how big the fan base is for GTA games.Amazing !!,en
421,Grand Theft Auto VI,174 mill views  this game is going to break all gaming records for sure,en
422,Grand Theft Auto VI,You know what would be amazing? Court rooms and normal pullovers,en
423,Grand Theft Auto VI,Can’t wait to play gta 7 with my grand kids,en
424,Grand Theft Auto VI,"If you can eat the peyote plants and become an alligator, that’ll be crazy",en
425,Grand Theft Auto VI,"Sup future me, how is GTA 7, can't wait to play this one though, I've been waiting a veryy long time for this.",en
426,Grand Theft Auto VI,Lets be honest this was the best news we got all 2023,en
427,Grand Theft Auto VI,How is this a video game?  This will be insane to see what they've created.,en
428,Grand Theft Auto VI,Hell yessss!!!! Ready for this to be out!!!,en
429,Grand Theft Auto VI,I need this game ,en
430,Grand Theft Auto VI,"We will never forget or forgive the betrayal of Rockstar Games_

#RockstarGamesScammers

#RIPRockstarGames",en
431,Grand Theft Auto VI,who else be watching this trailer on a daily basis,en
432,Grand Theft Auto VI,Revolutionary!,en
433,Grand Theft Auto VI,This is perfect,en
434,Grand Theft Auto VI,"We will never forget or forgive the betrayal of Rockstar Games...

#RockstarGamesScammers

#RIPRockstarGames",en
435,Grand Theft Auto VI,I watch the trailer everyday,en
436,Grand Theft Auto VI,This is incredible,en
437,Grand Theft Auto VI,"We will never forget or forgive the betrayal of Rockstar Games.;
#RockstarGamesScammers
#RIPRockstarGames",en
438,Grand Theft Auto VI,105 million + views in less than 48 hrs is ABSOLUTELY INSANE! Can't imagine what incredible impact this game will have on gamers and gaming in itself!!!,en
439,Grand Theft Auto VI,"كانت لعبة الطفوله بالنسبه لي ولكن تدمرت
لكن سألعبها واتجنب كل الاباحيه فيها",ar
